School,ID,Address,City_State_Zip,Grades,Level,Neighborhood,Capacity,Utilization (5 year avg),Building_Exp,Enrollment,Asian,Black,Hispanic,MultiRacial,Native_American,Pacific_Islander,White,AA_K1,AA_K2,Pct_Neighborhood,Pct_Walkzone,K1_First_Choice,K1_Top_3,K2_First_Choice,K2_Top_3,Private_Dollar_per_Student,Pct_Econ_Disadv,Opp_Index,MCAS_Tier
Ellison-Parks Early Education School,4440,108 Babson St,"Mattapan, MA 02126",K0-3,Elementary,Mattapan,227,82%,3,182,1.10%,53.85%,37.36%,2.20%,0.00%,0.00%,3.85%,0%,1%,39.78%,37.02%,59.37%,66.03%,70.78%,83.04%,$4 ,68,0.531,4
Everett Elementary School,4140,71 Pleasant St,"Dorchester, MA 02125",K0-6,Elementary,Dorchester,249,113%,1,283,9.89%,39.58%,34.98%,2.47%,0.35%,0.00%,12.72%,0%,1%,41.07%,62.14%,93.27%,96.97%,64.02%,89.10%,$6 ,66,0.537,3
Gardner Pilot Academy,4160,30 Athol St,"Allston, MA 02134",K0-6,Elementary,Allston/Brighton,414,87%,3,294,5.44%,12.24%,64.63%,4.08%,1.02%,0.00%,12.59%,0%,0%,92.58%,68.90%,82.77%,97.22%,76.48%,87.41%,"$1,047 ",51,0.459,3
Greenwood Sarah K-8 School,4130,186 Glenway Street,"Dorchester, MA 02121",K1-8,Elementary,Dorchester,228,162%,3,384,0.00%,10.68%,87.24%,0.52%,0.26%,0.00%,1.30%,0%,0%,38.36%,61.38%,78.42%,96.25%,47.88%,60.30%,$67 ,72,0.636,2
Grew Elementary School,4200,40 Gordon Ave,"Hyde Park, MA 02136",K1-6,Elementary,Hyde Park,238,85%,2,198,0.51%,31.31%,42.42%,10.61%,0.51%,0.00%,14.65%,0%,5%,53.54%,50.51%,68.05%,81.35%,80.00%,92.86%,$37 ,68,0.313,4
Guild Elementary School,4061,195 Leyden St,"East Boston, MA 02128",K0-6,Elementary,East Boston,280,90%,1,242,0.00%,5.37%,83.06%,0.83%,0.00%,0.00%,9.09%,0%,1%,96.22%,65.97%,61.27%,85.97%,68.82%,83.12%,$0 ,60,0.427,2
Hale Elementary School,4113,51 Cedar St,"Roxbury, MA 02119",K1-6,Elementary,Roxbury,142,120%,2,169,4.73%,50.30%,22.49%,7.69%,0.00%,0.00%,14.20%,0%,0%,83.33%,81.55%,87.42%,98.33%,79.17%,89.17%,$25 ,56,0.753,1
Haley Pilot School,4210,570 Amer Legion Hwy,"Roslindale, MA 02131",K0-6,Elementary,Roslindale,398,93%,2,354,1.13%,40.68%,32.49%,5.08%,0.28%,0.00%,20.06%,0%,0%,32.86%,38.86%,69.83%,93.96%,62.63%,77.27%,$120 ,43,0.425,3
Harvard-Kent Elementary School,4280,50 Bunker Hill St,"Charlestown, MA 02129",K0-6,Elementary,Charlestown,450,75%,4,316,11.39%,13.29%,27.53%,5.06%,0.00%,0.00%,42.72%,0%,0%,74.68%,78.21%,64.74%,92.90%,64.89%,71.01%,$321 ,68,0.388,1
Haynes Early Education Center,4460,263 Blue Hill Ave,"Roxbury, MA 02119",K0-1,Elementary,Roxbury,212,89%,4,191,1.05%,43.98%,48.69%,2.62%,0.52%,0.00%,3.14%,0%,1%,65.26%,68.95%,82.16%,88.70%,67.45%,83.24%,$105 ,66,0.681,3
Henderson K-12 Inclusion School Lower,4391,1669 Dorchester Ave,"Dorchester, MA 02122",K0-1,Elementary,Dorchester,160,124%,4,185,8.11%,36.76%,36.22%,8.11%,1.08%,1.08%,8.65%,0%,0%,77.17%,70.65%,59.33%,71.97%,54.79%,79.98%,$59 ,42,0.465,1
Hennigan Elementary School,4230,200 Heath St,"Jamaica Plain, MA 02130",K0-6,Elementary,Mission Hill /Jamaica Plain,587,81%,2,362,2.21%,25.41%,66.02%,2.21%,0.28%,0.00%,3.87%,0%,2%,42.98%,57.02%,,,75.41%,93.30%,$5 ,72,0.669,4
Hernandez Elementary School,4053,61 School St,"Roxbury, MA 02119",K1-6,Elementary,Roxbury,398,99%,2,333,0.00%,2.70%,73.87%,4.80%,0.00%,0.00%,18.62%,0%,0%,31.93%,32.83%,95.59%,100.00%,32.07%,32.07%,"$1,172 ",59,0.535,2
Higginson Inclusion K0-2 School,4241,160 Harrishof Street,"Roxbury, MA 02119",K0-2,Elementary,Roxbury,96,149%,1,162,1.23%,29.63%,56.79%,7.41%,0.00%,0.00%,4.32%,1%,1%,75.31%,72.84%,61.22%,80.03%,47.36%,64.95%,$26 ,82,0.765,4
Holmes Elementary School,4084,40 School St,"Dorchester, MA 02124",K0-6,Elementary,Dorchester,329,86%,1,303,2.97%,48.51%,42.24%,4.29%,0.33%,0.00%,1.65%,11%,1%,47.99%,68.79%,64.66%,76.27%,47.24%,65.30%,$73 ,75,0.589,4
Hurley K-8 School,4260,70 Worcester St,"South End, MA 02118",K0-8,Elementary,South End,408,86%,1,339,1.77%,4.72%,69.32%,2.95%,0.29%,0.00%,20.94%,0%,0%,47.62%,60.42%,92.98%,98.41%,74.31%,89.17%,"$1,171 ",52,0.497,1
Kennedy John F Elementary School,4270,7 Bolster St,"Jamaica Plain, MA 02130",K1-6,Elementary,Mission Hill /Jamaica Plain,403,93%,2,366,3.01%,15.03%,56.83%,4.92%,0.00%,0.00%,19.95%,0%,0%,43.65%,57.73%,77.02%,93.00%,61.71%,92.06%,$90 ,71,0.656,2
Kennedy Patrick J Elementary School,4541,343 Saratoga St,"East Boston, MA 02128",K0-6,Elementary,East Boston,186,146%,3,286,0.35%,2.80%,91.26%,0.35%,0.00%,0.00%,4.90%,0%,0%,98.57%,91.04%,85.65%,98.55%,76.70%,98.48%,$133 ,58,0.4,2
Kenny Elementary School,4390,19 Oakton Ave,"Dorchester, MA 02122",K0-6,Elementary,Dorchester,193,171%,1,315,13.97%,24.44%,31.11%,6.67%,0.32%,0.00%,23.49%,0%,0%,75.72%,50.48%,82.61%,95.65%,66.67%,92.42%,$68 ,63,0.392,2
Kilmer K-8 School (K-3),4031,35 Baker St,"West Roxbury, MA 02132",K0-3,Elementary,West Roxbury,170,121%,2,212,4.25%,19.81%,25.47%,4.25%,0.47%,0.00%,45.75%,0%,0%,64.76%,43.33%,85.90%,96.74%,70.56%,79.44%,$10 ,25,0.281,1
King School,4055,77 Lawrence Ave,"Dorchester, MA 02121",K0-6,Elementary,Roxbury,437,110%,3,454,0.66%,47.36%,46.48%,2.20%,0.22%,0.00%,3.08%,0%,1%,58.57%,73.05%,46.50%,71.61%,43.64%,61.12%,$35 ,76,0.683,4
Lee Academy,4291,25 Dunbar Av,"Dorchester, MA 02124",K0-3,Elementary,Dorchester,167,116%,2,201,0.00%,47.76%,46.27%,4.48%,0.00%,0.00%,1.49%,4%,3%,51.26%,65.83%,53.87%,73.71%,57.67%,68.03%,$75 ,60,0.494,3
Lee K-8 School,4290,155 Talbot Ave,"Dorchester, MA 02124",K0-8,Elementary,Dorchester,651,85%,3,586,2.90%,51.37%,37.20%,4.10%,1.02%,0.17%,2.73%,0%,2%,40.14%,70.68%,62.34%,81.23%,47.80%,61.36%,$73 ,66,0.568,3
Lyndon K-8 School,4331,20 Mt Vernon St,"West Roxbury, MA 02132",K1-8,Elementary,West Roxbury,418,135%,2,524,4.20%,11.45%,21.95%,5.34%,0.19%,0.00%,56.68%,0%,0%,68.29%,60.70%,84.99%,94.23%,75.48%,84.40%,$102 ,29,0.233,1
Lyon K-8 School,4171,50 Beechcroft St,"Brighton, MA 02135",K2-8,Elementary,Allston/Brighton,108,117%,2,129,11.63%,20.93%,37.98%,6.98%,0.00%,0.00%,21.71%,0%,6%,89.60%,56.00%,,,47.37%,89.19%,$0 ,50,0.394,1
Manning Elementary School,4311,130 Louders Lane,"Jamaica Plain, MA 02130",K0-6,Elementary,Mission Hill /Jamaica Plain,174,92%,2,150,4.67%,10.00%,22.00%,7.33%,0.67%,0.00%,55.33%,0%,0%,41.50%,31.97%,100.00%,100.00%,82.79%,97.44%,$166 ,32,0.197,1
Mario Umana Academy,4323,312 Border St,"East Boston, MA 02128",K0-8,Elementary,East Boston,492,127%,4,590,0.51%,3.22%,91.02%,1.02%,0.17%,0.00%,4.07%,0%,0%,95.30%,82.58%,93.05%,94.72%,77.62%,91.52%,$15 ,60,0.478,2
Mason Elementary School,4121,150 Norfolk Ave,"Roxbury, MA 02119",K0-5,Elementary,Roxbury,215,94%,1,230,0.43%,51.74%,40.43%,3.04%,0.43%,0.00%,3.91%,0%,0%,47.14%,68.72%,52.05%,80.19%,43.70%,76.67%,$107 ,60,0.654,1
Mather Elementary School,4350,24 Parish St,"Dorchester, MA 02122",K1-6,Elementary,Dorchester,430,111%,2,483,29.19%,36.65%,23.19%,4.14%,0.83%,0.41%,5.59%,2%,0%,23.13%,62.71%,67.18%,92.20%,62.10%,76.01%,$30 ,62,0.538,2
Mattahunt Elementary School,4691,123 Alabama St,"Mattapan, MA 02126",K0-6,Elementary,Mattapan,668,78%,4,582,0.52%,71.13%,25.43%,2.23%,0.17%,0.00%,0.34%,3%,4%,41.07%,37.61%,68.81%,83.02%,45.73%,61.04%,$29 ,72,0.551,4
McKay K-8 School,4360,122 Cottage St,"East Boston, MA 02128",K1-8,Elementary,East Boston,614,107%,3,596,1.01%,3.19%,87.92%,1.17%,0.00%,0.00%,6.54%,0%,0%,97.12%,80.00%,87.96%,98.25%,74.96%,89.45%,$40 ,57,0.447,3
